"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
All	Men	5	Overweight	"bmi"	4	3	19	8	11	       0.0040731	      -7.2080310	      -6.7431196	       0.9364267	      -6.7726756
All	Women	1	Overweight	"bmi"	1	0	19	2	17	       0.0160404	      -6.7671444	      -6.7671444	       0.0000000	      -6.7671444
All	Women	1	Overweight	"bmi"	2	1	19	4	15	       0.0061154	      -7.4214953	      -7.2665248	       0.6187469	      -7.3256078
All	Women	1	Overweight	"bmi"	3	2	19	6	13	       0.0031290	      -7.7816573	      -7.4717163	       0.7394313	      -7.5524772
All	Women	1	Overweight	"bmi"	4	3	19	8	11	       0.0021454	      -7.8491076	      -7.3841962	       0.8143041	      -7.4705283
All	Women	2	Overweight	"bmi"	1	0	19	2	17	       0.0265747	      -6.2622942	      -6.2622942	       0.0000000	      -6.2622942
All	Women	2	Overweight	"bmi"	2	1	19	4	15	       0.0227734	      -6.1067195	      -5.9517491	       0.1430420	      -6.0845523
All	Women	2	Overweight	"bmi"	3	2	19	6	13	       0.0072056	      -6.9475120	      -6.6375710	       0.9046296	      -6.6671302
All	Women	2	Overweight	"bmi"	4	3	19	8	11	       0.0058824	      -6.8404724	      -6.3755610	       0.9046296	      -6.4198998
All	Women	3	Overweight	"bmi"	1	0	19	2	17	       0.0067176	      -7.6375288	      -7.6375288	       0.0000000	      -7.6375288
All	Women	3	Overweight	"bmi"	2	1	19	4	15	       0.0055938	      -7.5106506	      -7.3556801	       0.1672841	      -7.4847265
All	Women	3	Overweight	"bmi"	3	2	19	6	13	       0.0034440	      -7.6857418	      -7.3758009	       0.8522729	      -7.4215876
All	Women	3	Overweight	"bmi"	4	3	19	8	11	       0.0030016	      -7.5132832	      -7.0483718	       0.9348410	      -7.0786650
